theta_a_deg,theta_b_deg,theta_diff_deg,correlation,correlation_std,n_trials
10.0,85.0,-75.0,-0.08007206421250296,0.06290448896941861,100
10.0,90.0,-80.0,-0.03476234969356731,0.055814895118296806,100
15.0,0.0,15.0,-0.9339840859032885,0.05701551643310799,100
15.0,5.0,10.0,-0.9651931915650398,0.05983022006675011,100
15.0,10.0,5.0,-1.0011158076861268,0.05909142599859533,100
15.0,15.0,0.0,-1.0021978312057436,0.057132743309846794,100
15.0,20.0,-5.0,-0.9964264709843773,0.06024474009874292,100
15.0,25.0,-10.0,-0.9660107067948167,0.05566722925692887,100
15.0,30.0,-15.0,-0.9300780442380671,0.05574011836839333,100
15.0,35.0,-20.0,-0.8707509403727646,0.05478865330719047,100
15.0,40.0,-25.0,-0.8219351980332606,0.05794770904705681,100
15.0,45.0,-30.0,-0.7533286648902177,0.055951368902015595,100
15.0,50.0,-35.0,-0.6703995774993777,0.054596527643993795,100
15.0,55.0,-40.0,-0.5890635265734292,0.05542499925738661,100
15.0,60.0,-45.0,-0.4917594056763356,0.06020766287122875,100
15.0,65.0,-50.0,-0.42568713269533837,0.058337594248567055,100
15.0,70.0,-55.0,-0.32607212987262846,0.05718671277918407,100
15.0,75.0,-60.0,-0.2396166765183986,0.05765260993665464,100
15.0,80.0,-65.0,-0.18107379262857282,0.058201671572611566,100
15.0,85.0,-70.0,-0.12634559416898264,0.05745849095604508,100
15.0,90.0,-75.0,-0.06431181435852257,0.05723522381608438,100
20.0,0.0,20.0,-0.88335152908849,0.05887981957310769,100
20.0,5.0,15.0,-0.9233053825652184,0.05526742086972993,100
20.0,10.0,10.0,-0.9712995290875406,0.056429409839541804,100
20.0,15.0,5.0,-0.9941854970372758,0.05815661687931125,100
20.0,20.0,0.0,-1.005055137924424,0.062485200698101734,100
20.0,25.0,-5.0,-1.0028851053575023,0.05339762069701044,100
20.0,30.0,-10.0,-0.9697024700705488,0.055351721636408516,100
20.0,35.0,-15.0,-0.9341202755527652,0.05568953268977908,100
20.0,40.0,-20.0,-0.869870240684621,0.05791118151875132,100
20.0,45.0,-25.0,-0.8286206296203017,0.05813079798199869,100
20.0,50.0,-30.0,-0.7532319777289108,0.05876739110995915,100
20.0,55.0,-35.0,-0.673923042685118,0.05848292660259129,100
20.0,60.0,-40.0,-0.5819166487974866,0.05917523371370742,100
20.0,65.0,-45.0,-0.48746265113157766,0.058946392500077,100
20.0,70.0,-50.0,-0.4170276320881304,0.060608832937280394,100
20.0,75.0,-55.0,-0.328837701570908,0.05476514309879135,100
20.0,80.0,-60.0,-0.25027065903351803,0.061356149352282126,100
20.0,85.0,-65.0,-0.18364800748795138,0.05870569688958102,100
20.0,90.0,-70.0,-0.1172721419223801,0.05820146686311719,100
25.0,0.0,25.0,-0.8305212876413982,0.05999831630845021,100
25.0,5.0,20.0,-0.8803435612133259,0.0544857547354889,100
25.0,10.0,15.0,-0.9274108821561505,0.05568153386312796,100
25.0,15.0,10.0,-0.9709291539938009,0.05881494230506544,100
25.0,20.0,5.0,-0.9940170303832784,0.05970546847192921,100
25.0,25.0,0.0,-1.0020904548877823,0.05573030720626244,100
25.0,30.0,-5.0,-0.9839661508076166,0.057028238153632706,100
25.0,35.0,-10.0,-0.9777502647136653,0.05193654829381439,100
25.0,40.0,-15.0,-0.9301084038199265,0.05510169855393753,100
25.0,45.0,-20.0,-0.8751325965351178,0.05491896397659594,100
25.0,50.0,-25.0,-0.8384012372826898,0.049445540579144694,100
25.0,55.0,-30.0,-0.7413665335266261,0.05788848989732768,100
25.0,60.0,-35.0,-0.6719417549446886,0.05990182992780628,100
25.0,65.0,-40.0,-0.5888387615543572,0.05616007725827427,100
25.0,70.0,-45.0,-0.4897204570424133,0.05559467474461225,100
25.0,75.0,-50.0,-0.4057451980814454,0.059327629257052185,100
25.0,80.0,-55.0,-0.33243897130398326,0.05739916306067424,100
25.0,85.0,-60.0,-0.2590296630060873,0.05604299070379925,100
25.0,90.0,-65.0,-0.17145386831426454,0.0578327342050374,100
30.0,0.0,30.0,-0.7456982987864714,0.05415563109041719,100
30.0,5.0,25.0,-0.8346575600052462,0.057665897368461505,100
30.0,10.0,20.0,-0.882321630165022,0.058593261058856795,100
30.0,15.0,15.0,-0.9382360766157143,0.05867672530598293,100
30.0,20.0,10.0,-0.9741590070038332,0.05594564708833895,100
30.0,25.0,5.0,-0.995300206030991,0.0591848983743422,100
30.0,30.0,0.0,-0.9917631459940478,0.05744621120569153,100
30.0,35.0,-5.0,-1.0078990474317604,0.062425427073533,100
30.0,40.0,-10.0,-0.977751945684749,0.05484681505743904,100
30.0,45.0,-15.0,-0.9276602000147551,0.057452596491773825,100
30.0,50.0,-20.0,-0.8845643476154202,0.060654145025203644,100
30.0,55.0,-25.0,-0.8200660947486448,0.0578966300374229,100
30.0,60.0,-30.0,-0.7500025871946187,0.05980572428202353,100
30.0,65.0,-35.0,-0.6678749127511948,0.05474972655049854,100
30.0,70.0,-40.0,-0.5884785159715148,0.06053667038924759,100
30.0,75.0,-45.0,-0.5082088851094158,0.05874696022324335,100
